,first_name,last_name,flag_code,residence,birthplace,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,age
2457,Roger,Dubuc,FRA,0,0,,0.0,0.0,0.0,0,0,
2458,Ivan,Devroe,BEL,0,0,,0.0,0.0,0.0,0,0,
2459,Paul,Desq,FRA,0,0,,0.0,0.0,0.0,0,0,
2460,Leslie,Dodson,USA,0,0,1937-02-24,0.0,0.0,0.0,0,0,87.0
2461,Graham,Daniels,GBR,0,0,,0.0,0.0,0.0,0,0,
2462,J.,Delwitt,USA,0,0,,0.0,0.0,0.0,0,0,
2463,Ernesto,Della Paolera,ARG,0,0,,0.0,0.0,0.0,0,0,
2464,Jose-Maria,Draper,ESP,0,0,,0.0,0.0,0.0,0,0,
2465,George,Druliner,USA,0,0,1922-11-06,0.0,0.0,0.0,0,0,102.0
2466,Jerry,Darlymple,USA,0,0,,0.0,0.0,0.0,0,0,
2467,William,Demas,USA,0,0,,0.0,0.0,0.0,0,0,
2468,Stanley,Drobac,USA,0,0,,0.0,0.0,0.0,0,0,
2469,John,Diggle,AUS,0,0,,0.0,0.0,0.0,0,0,
2470,Roland,Dubuisson,FRA,0,0,,0.0,0.0,0.0,0,0,
2471,Roger,Dessair,FRA,0,0,,0.0,0.0,0.0,0,0,
2472,Jean Ducos,De La Haille,FRA,0,0,,0.0,0.0,0.0,0,0,
2473,Roy,De Valk,NED,"Zoetermeer, Netherlands","Bangkok, Thailand",1991-12-30,0.0,85.0,185.0,Right-Handed,Two-Handed Backhand,33.0
2474,Guy,Delhomme,FRA,0,0,,0.0,0.0,0.0,0,0,
2475,Calhoun,Dickson,USA,0,0,,0.0,0.0,0.0,0,0,
2476,G.,Dunklin,USA,0,0,,0.0,0.0,0.0,0,0,
2477,Joseph,Davis,USA,0,0,,0.0,0.0,0.0,0,0,
2478,Marcello,Del Bello,ITA,0,0,1921-01-25,0.0,0.0,0.0,0,0,103.0
2479,A.K.G.,Davis,USA,0,0,,0.0,0.0,0.0,0,0,
2480,Rolando,Del Bello,ITA,0,0,1925-10-26,0.0,0.0,0.0,0,0,99.0
2481,Richard,Doss,USA,0,0,,0.0,0.0,0.0,0,0,
2482,Edmund,David,GBR,0,0,,0.0,0.0,0.0,0,0,
2483,William,Davis,USA,0,0,1929-01-18,0.0,0.0,0.0,0,0,95.0
2484,Michael,De Wet,RSA,0,0,,0.0,0.0,0.0,0,0,
2485,Stanley,Davidson,RSA,0,0,,0.0,0.0,0.0,0,0,
2486,Murray,Deloford,GBR,0,0,,0.0,0.0,0.0,0,0,
2487,Michel Dulac,De Fugeres,FRA,0,0,,0.0,0.0,0.0,0,0,
2488,Sharod,Deodhar,USA,0,0,,0.0,0.0,0.0,0,0,
2489,Henri,Doublet,FRA,0,0,,0.0,0.0,0.0,0,0,
2490,Carlo,Della Vida,ITA,0,0,,0.0,0.0,0.0,0,0,
2491,Jacques,Delire,BEL,0,0,,0.0,0.0,0.0,0,0,
2492,Pierre Geelhand,De Merxem,BEL,0,0,,0.0,0.0,0.0,0,0,
2493,Bernard,Du Pont,SUI,0,0,1928-09-21,0.0,0.0,0.0,0,0,96.0
2494,Jack,Dart,AUS,0,0,,0.0,0.0,0.0,0,0,
2495,Charles,Dobbs,GBR,0,0,,0.0,0.0,0.0,0,0,
2496,Ellsworth,Donnell,USA,0,0,,0.0,0.0,0.0,0,0,
2497,C.,Donohue,0,0,0,,0.0,0.0,0.0,0,0,
2498,Roy,Dunlop,AUS,0,0,,0.0,0.0,0.0,0,0,
2499,Louis,Desloges,FRA,0,0,,0.0,0.0,0.0,0,0,
2500,Giorgio,De Stefani,ITA,0,Verona,1904-02-24,0.0,0.0,0.0,0,0,120.0
2501,Rene,De Buzelet,FRA,0,0,,0.0,0.0,0.0,0,0,
2502,Leopold,De Borman,BEL,0,0,,0.0,0.0,0.0,0,0,
2503,E. F. Ramey,Donovan,USA,0,0,,0.0,0.0,0.0,0,0,
2504,Ralph,DeMott,USA,0,0,,0.0,0.0,0.0,0,0,
2505,Hunt,Dickinson,USA,0,0,,0.0,0.0,0.0,0,0,
2506,S. H. Ellsworth,Davenport,USA,0,0,,0.0,0.0,0.0,0,0,
2507,Alberto,Del Bono,ITA,0,0,,0.0,0.0,0.0,0,0,
2508,D.,Datt,0,0,0,,0.0,0.0,0.0,0,0,
2509,Emmanuel,Du Plaix,FRA,0,0,,0.0,0.0,0.0,0,0,
2510,R.,Douillet,FRA,0,0,,0.0,0.0,0.0,0,0,
2511,R.K.,De,0,0,0,,0.0,0.0,0.0,0,0,
2512,Herman,David,GBR,0,0,1905-06-26,0.0,0.0,0.0,0,0,119.0
2513,Oscar,De Minerbi,ITA,0,0,1908-02-26,0.0,0.0,0.0,0,0,116.0
2514,Sam,Daniel,USA,0,0,,0.0,0.0,0.0,0,0,
2515,David,Davidson,AUS,0,0,,0.0,0.0,0.0,0,0,
2516,Robert,Dixon,USA,0,0,,0.0,0.0,0.0,0,0,
2517,John,Drinkall,GBR,0,0,1922-01-01,0.0,0.0,0.0,0,0,102.0
2518,F.,Davidson,COL,0,0,,0.0,0.0,0.0,0,0,
2519,Jack,Darkins,GBR,0,0,,0.0,0.0,0.0,0,0,
2520,Bruce,Daniels,USA,0,0,,0.0,0.0,0.0,0,0,
2521,Walter,Driver,USA,0,0,,0.0,0.0,0.0,0,0,
2522,Larry,Dee,USA,0,0,,0.0,0.0,0.0,0,0,
2523,John,Doeg,USA,0,Guaymas,1908-12-07,0.0,0.0,0.0,0,0,116.0
2524,Lewis,Duff,CAN,0,0,,0.0,0.0,0.0,0,0,
2525,Robert,Decker,USA,0,0,,0.0,0.0,0.0,0,0,
2526,Gyorgy,Dallos,HUN,0,0,,0.0,0.0,0.0,0,0,
2527,Dmitrii,Dosuzhev,RUS,0,0,,0.0,0.0,0.0,0,0,
2528,K.,Dohnal,GER,0,0,,0.0,0.0,0.0,0,0,
2529,Jagan,Dhamija,0,0,0,,0.0,0.0,0.0,0,0,
2530,W.,Davidson,GBR,0,0,,0.0,0.0,0.0,0,0,
2531,Rene Marie,Depierre,FRA,0,0,,0.0,0.0,0.0,0,0,
2532,Unknown,Dry,0,0,0,,0.0,0.0,0.0,0,0,
2533,Alistair,Dewar-Brown,GBR,0,0,1915-12-20,0.0,0.0,0.0,0,0,109.0
2534,R.,De Brauw,NED,0,0,,0.0,0.0,0.0,0,0,
2535,Roger,Du Rivage,CAN,0,0,,0.0,0.0,0.0,0,0,
2536,Edward,DeGray,USA,0,0,,0.0,0.0,0.0,0,0,
2537,George,Dunn,USA,0,0,,0.0,0.0,0.0,0,0,
2538,Richard,Dorson,USA,0,0,,0.0,0.0,0.0,0,0,
2539,George,Dullnig,USA,0,0,,0.0,0.0,0.0,0,0,
2540,Lucilo,Del Castillo,ARG,0,0,,0.0,0.0,0.0,0,0,
2541,Henry,Daniels,USA,0,0,,0.0,0.0,0.0,0,0,
2542,Uberto,De Morpurgo,ITA,0,Trieste,,0.0,0.0,0.0,0,0,
2543,Carlos Ponce,De Leon,URU,0,0,,0.0,0.0,0.0,0,0,
2544,Hans,Denker,GER,0,0,,0.0,0.0,0.0,0,0,
2545,Luis,de Olivares,ESP,0,0,,0.0,0.0,0.0,0,0,
2546,Adolpho,De Menezes,BRA,0,0,,0.0,0.0,0.0,0,0,
2547,Alfred,Della Porta,GBR,0,0,,0.0,0.0,0.0,0,0,
2548,W.A.H.,Duff,CAN,0,0,,0.0,0.0,0.0,0,0,
2549,Geoffrey E.M.,De Ste. Croix,GBR,0,0,,0.0,0.0,0.0,0,0,
2550,G.,De Martino,0,0,0,,0.0,0.0,0.0,0,0,
2551,R.,Downing,0,0,0,,0.0,0.0,0.0,0,0,
2552,Jean,De Macedo,FRA,0,0,,0.0,0.0,0.0,0,0,
2553,Roger,Danet,FRA,0,0,,0.0,0.0,0.0,0,0,
2554,L.,Dailey,USA,0,0,,0.0,0.0,0.0,0,0,
2555,Rene,Danon,EGY,0,0,,0.0,0.0,0.0,0,0,
2556,Harish,Danda,IND,0,0,,0.0,0.0,0.0,0,0,
2557,J.,DeLara,0,0,0,,0.0,0.0,0.0,0,0,
2558,Walter,Dessart,GER,0,0,,0.0,0.0,0.0,0,0,
2559,Shirley,Dillon,IRL,0,0,,0.0,0.0,0.0,0,0,
2560,Jacques,Deniau,FRA,0,0,,0.0,0.0,0.0,0,0,
2561,Norman,Dicks,GBR,0,0,,0.0,0.0,0.0,0,0,
2562,H.,Dannon,0,0,0,,0.0,0.0,0.0,0,0,
2563,Harold,Doctor,AUS,0,0,,0.0,0.0,0.0,0,0,
2564,E.,Dawson,0,0,0,,0.0,0.0,0.0,0,0,
2565,K.,Dalgleish,AUS,0,0,,0.0,0.0,0.0,0,0,
2566,E.,Dunn,0,0,0,,0.0,0.0,0.0,0,0,
2567,G.,Daley,AUS,0,0,,0.0,0.0,0.0,0,0,
2568,A.,Down,0,0,0,,0.0,0.0,0.0,0,0,
2569,G.,Dickinson,AUS,0,0,,0.0,0.0,0.0,0,0,
2570,Edward,Dearman,GBR,0,0,,0.0,0.0,0.0,0,0,
2571,Royden,Dash,GBR,0,0,,0.0,0.0,0.0,0,0,
2572,Neville,Deed,GBR,0,0,,0.0,0.0,0.0,0,0,
2573,Ambrose,Dudley,GBR,0,0,,0.0,0.0,0.0,0,0,
2574,Unknown,De Klazkowski,0,0,0,,0.0,0.0,0.0,0,0,
2575,Gyorgy,Dungyersky,YUG,0,0,,0.0,0.0,0.0,0,0,
2576,Charles,Dixon,GBR,0,"Grantham, Lincolnshire",,0.0,0.0,0.0,0,0,
2577,Max,Decugis,FRA,0,Paris,,0.0,0.0,0.0,0,0,
2578,Percival,Davson,GBR,0,"Georgetown, Demerara",,0.0,0.0,0.0,0,0,
2579,R.,De Castro De Pereira,POR,0,0,,0.0,0.0,0.0,0,0,
2580,L.F.,Davin,GBR,0,0,,0.0,0.0,0.0,0,0,
2581,Ignacio,De La Borbolla,MEX,0,0,,0.0,0.0,0.0,0,0,
2582,C.,D'Avalos,0,0,0,,0.0,0.0,0.0,0,0,
2583,G.F.,De Bruyn-Kops,0,0,0,,0.0,0.0,0.0,0,0,
2584,Y.,Das De Kapurthala,GBR,0,0,,0.0,0.0,0.0,0,0,
2585,Goffredo,De Banfield,ITA,0,0,,0.0,0.0,0.0,0,0,
2586,Jean,De Buzelet,FRA,0,0,,0.0,0.0,0.0,0,0,
2587,Felix,Del Canto,MEX,0,0,,0.0,0.0,0.0,0,0,
2588,T.A.,Digby,GBR,0,0,,0.0,0.0,0.0,0,0,
2589,A.W.,Davson,GBR,0,0,,0.0,0.0,0.0,0,0,
2590,Alexander,Drew,GBR,0,0,,0.0,0.0,0.0,0,0,
2591,J.A.,Dean,GBR,0,0,,0.0,0.0,0.0,0,0,
2592,Lewis,Deane,IND,0,0,,0.0,0.0,0.0,0,0,
2593,Manuel,De Gomar,ESP,0,0,,0.0,0.0,0.0,0,0,
2594,L.,de Turenne,0,0,0,,0.0,0.0,0.0,0,0,
2595,J.,Donaldson,0,0,0,,0.0,0.0,0.0,0,0,
2596,H.,Dornheim,0,0,0,,0.0,0.0,0.0,0,0,
2597,L.,Dunham,0,0,0,,0.0,0.0,0.0,0,0,
2598,J.,Davies,0,0,0,,0.0,0.0,0.0,0,0,
2599,A.,Dabney,0,0,0,,0.0,0.0,0.0,0,0,
2600,Willis,Davis,USA,0,0,,0.0,0.0,0.0,0,0,
2601,F.,Drews,AUS,0,0,,0.0,0.0,0.0,0,0,
2602,W.,Dive,AUS,0,0,,0.0,0.0,0.0,0,0,
2603,P.,De Becker,BEL,0,0,,0.0,0.0,0.0,0,0,
2604,S.,Davis,0,0,0,,0.0,0.0,0.0,0,0,
2605,H.O.,Dixon,GBR,0,0,,0.0,0.0,0.0,0,0,
2606,Marcel,Dupont,FRA,0,0,,0.0,0.0,0.0,0,0,
2607,Jose,De Verda,POR,0,0,,0.0,0.0,0.0,0,0,
2608,Paul,De Borman,BEL,0,0,,0.0,0.0,0.0,0,0,
2609,V.,de Bousies,0,0,0,,0.0,0.0,0.0,0,0,
2610,Arthur,Diemer-Kool,NED,0,0,,0.0,0.0,0.0,0,0,
2611,R.,de Grenus,0,0,0,,0.0,0.0,0.0,0,0,
2612,F.W.,Donisthorpe,GBR,0,0,,0.0,0.0,0.0,0,0,
2613,A.,Davis,0,0,0,,0.0,0.0,0.0,0,0,
2614,F.,de Saram,0,0,0,,0.0,0.0,0.0,0,0,
2615,F.,Down,AUS,0,0,,0.0,0.0,0.0,0,0,
2616,F.,de Weck,0,0,0,,0.0,0.0,0.0,0,0,
2617,Col.,Day,0,0,0,,0.0,0.0,0.0,0,0,
2618,S.,Dillon,0,0,0,,0.0,0.0,0.0,0,0,
2619,Stanley,Doust,AUS,0,"Sydney, NSW",,0.0,0.0,0.0,0,0,
2620,S.,Dass,0,0,0,,0.0,0.0,0.0,0,0,
2621,George,Dodd,RSA,0,0,,0.0,0.0,0.0,0,0,
2622,Amphlette,Davis,0,0,0,,0.0,0.0,0.0,0,0,
2623,E.,de Serieri,0,0,0,,0.0,0.0,0.0,0,0,
2624,J.,Dudley,0,0,0,,0.0,0.0,0.0,0,0,
2625,L.,de Lone,0,0,0,,0.0,0.0,0.0,0,0,
2626,J.,Davis,0,0,0,,0.0,0.0,0.0,0,0,
2627,G.,Dionne,0,0,0,,0.0,0.0,0.0,0,0,
2628,R.,Dana,0,0,0,,0.0,0.0,0.0,0,0,
2629,M.,Duane,0,0,0,,0.0,0.0,0.0,0,0,
2630,B.,Drake,0,0,0,,0.0,0.0,0.0,0,0,
2631,T.,Day,0,0,0,,0.0,0.0,0.0,0,0,
2632,L.,Darby,0,0,0,,0.0,0.0,0.0,0,0,
2633,C.,Doyle,0,0,0,,0.0,0.0,0.0,0,0,
2634,G.,Donaldson,0,0,0,,0.0,0.0,0.0,0,0,
2635,R.,Davis,0,0,0,,0.0,0.0,0.0,0,0,
2636,W.,Dawson,0,0,0,,0.0,0.0,0.0,0,0,
2637,B.,Da Silva,0,0,0,,0.0,0.0,0.0,0,0,
2638,M.,De Camp,0,0,0,,0.0,0.0,0.0,0,0,
2639,F.,Doubleday,0,0,0,,0.0,0.0,0.0,0,0,
2640,Alfred,Dunlop,AUS,0,Christchurch,,0.0,0.0,0.0,0,0,
2641,J.,Devereux,0,0,0,,0.0,0.0,0.0,0,0,
2642,E.,Diepholz,0,0,0,,0.0,0.0,0.0,0,0,
2643,J.,De Morpurgo,0,0,0,,0.0,0.0,0.0,0,0,
2644,A.,Dutton,0,0,0,,0.0,0.0,0.0,0,0,
2645,F.,Dixon,0,0,0,,0.0,0.0,0.0,0,0,
2646,W.,Dean,0,0,0,,0.0,0.0,0.0,0,0,
2647,E.,Donn,0,0,0,,0.0,0.0,0.0,0,0,
2648,L.,Dreyfus,0,0,0,,0.0,0.0,0.0,0,0,
2649,S.,de Jakimowicz,0,0,0,,0.0,0.0,0.0,0,0,
2650,T.,Dunlap,0,0,0,,0.0,0.0,0.0,0,0,
2651,F.,Drew,0,0,0,,0.0,0.0,0.0,0,0,
2652,Robert,Dudley,GBR,0,0,,0.0,0.0,0.0,0,0,
2653,J.,DuBarry,0,0,0,,0.0,0.0,0.0,0,0,
2654,A.,Devens,0,0,0,,0.0,0.0,0.0,0,0,
2655,J.,Downey,0,0,0,,0.0,0.0,0.0,0,0,
2656,G.,Drew,0,0,0,,0.0,0.0,0.0,0,0,
2657,R.,Dieter,0,0,0,,0.0,0.0,0.0,0,0,
2658,P.,Degener,0,0,0,,0.0,0.0,0.0,0,0,
2659,D.,Dilworth,0,0,0,,0.0,0.0,0.0,0,0,
2660,F.,Derham,0,0,0,,0.0,0.0,0.0,0,0,
2661,G.,Douglas,0,0,0,,0.0,0.0,0.0,0,0,
2662,J.,Darragh,0,0,0,,0.0,0.0,0.0,0,0,
2663,Corentin,Denolly,FRA,"Paris, France","Vienne, France",1997-06-06,0.0,77.0,185.0,Left-Handed,Two-Handed Backhand,27.0
2664,Walker,Duncan,USA,Atlanta GA,"Memphis, Tennessee",1996-05-07,0.0,77.0,185.0,Right-Handed,Two-Handed Backhand,28.0
2665,Laurence,Doherty,GBR,0,Wimbledon,,0.0,0.0,0.0,0,0,
2666,Nigel,Davidson,GBR,0,0,,0.0,0.0,0.0,0,0,
2667,Elie,De Lastours,FRA,0,0,,0.0,0.0,0.0,0,0,
2668,F.,Day,0,0,0,,0.0,0.0,0.0,0,0,
2669,W.H.,Davidson,0,0,0,,0.0,0.0,0.0,0,0,
2670,H.C.,Davis,0,0,0,,0.0,0.0,0.0,0,0,
2671,Baron,Detyll,0,0,0,,0.0,0.0,0.0,0,0,
2672,H.,Dering,0,0,0,,0.0,0.0,0.0,0,0,
2673,E.,Dewhurst,0,0,0,,0.0,0.0,0.0,0,0,
2674,J.B.,Dufall,GBR,0,0,,0.0,0.0,0.0,0,0,
2675,Neville,Durlacher,GBR,0,0,,0.0,0.0,0.0,0,0,
2676,Reggie,Doherty,GBR,0,Wimbledon,,0.0,0.0,0.0,0,0,
2677,K.,Doust,USA,0,0,,0.0,0.0,0.0,0,0,
2678,H.W.,Davies,GBR,0,0,,0.0,0.0,0.0,0,0,
2679,S.,Drapes,0,0,0,,0.0,0.0,0.0,0,0,
2680,W.V.,Doherty,0,0,0,,0.0,0.0,0.0,0,0,
2681,M.,Day,0,0,0,,0.0,0.0,0.0,0,0,
2682,L.,DeForrest,0,0,0,,0.0,0.0,0.0,0,0,
2683,Dwight,Davis,USA,0,"St.Louis, MS",,0.0,0.0,0.0,0,0,
2684,J.,Davidson,0,0,0,,0.0,0.0,0.0,0,0,
2685,F.,Darbishire,0,0,0,,0.0,0.0,0.0,0,0,
2686,E.,de S.H. Browne,0,0,0,,0.0,0.0,0.0,0,0,
2687,James,Dwight,USA,0,0,,0.0,0.0,0.0,0,0,
2688,W.,Darby,0,0,0,,0.0,0.0,0.0,0,0,
2689,W.,Down,0,0,0,,0.0,0.0,0.0,0,0,
2690,F.,Durant,0,0,0,,0.0,0.0,0.0,0,0,
2691,W.,De Esterre,0,0,0,,0.0,0.0,0.0,0,0,
2692,J.,Devans,0,0,0,,0.0,0.0,0.0,0,0,
2693,H.,Daly,0,0,0,,0.0,0.0,0.0,0,0,
2694,R.,Dalby,0,0,0,,0.0,0.0,0.0,0,0,
2695,H.,Dickey,0,0,0,,0.0,0.0,0.0,0,0,
2696,F.,Donahue,0,0,0,,0.0,0.0,0.0,0,0,
2697,G.,Depew,0,0,0,,0.0,0.0,0.0,0,0,
2698,C.,Davis,0,0,0,,0.0,0.0,0.0,0,0,
2699,G.L.,Dunn,0,0,0,,0.0,0.0,0.0,0,0,
2700,A.,de Navarro,0,0,0,,0.0,0.0,0.0,0,0,
2701,E.,Denniston,0,0,0,,0.0,0.0,0.0,0,0,
2702,W.,Dixon,0,0,0,,0.0,0.0,0.0,0,0,
2703,J.,Deykin,0,0,0,,0.0,0.0,0.0,0,0,
2704,Guy,Den Heijer,NED,0,0,1997-03-30,0.0,0.0,0.0,0,0,27.0
2705,Alex,de Minaur,AUS,"Alicante, Spain","Sydney, Australia",1999-02-17,2015.0,69.0,180.0,Right-Handed,Two-Handed Backhand,25.0
2706,Klaus,Eberhard,GER,0,"Dattelm, Germany",1957-09-15,0.0,0.0,0.0,0,0,67.0
2707,Charlton,Eagle,AUS,0,"Johannesburg, South Africa",1963-11-30,0.0,79.0,180.0,0,0,61.0
2708,Stefan,Edberg,SWE,"London, England","Vastervik, Sweden",1966-01-19,1983.0,77.0,188.0,0,0,58.0
2709,Mark,Edmondson,AUS,0,"Gosford, NSW, Australia",1954-06-28,0.0,86.0,185.0,0,0,70.0
2710,Constantinos,Efremoglou,GRE,0,"Athens, Greece",1962-06-06,0.0,74.0,188.0,0,0,62.0
2711,Eddie,Edwards,RSA,0,"Johannesburg, South Africa",1956-07-03,0.0,82.0,191.0,0,0,68.0
2712,David,Egdes,RSA,"Encino, California, USA",0,,0.0,0.0,0.0,0,0,
2713,Tarek,El Sakka,EGY,0,0,,0.0,77.0,180.0,0,0,
2714,Ahmed,El Mehelmy,EGY,0,"Cairo, Egypt",1962-01-25,0.0,77.0,183.0,0,0,62.0
2715,Peter,Elter,GER,0,"Frankfurt, Germany",1958-06-10,0.0,77.0,178.0,0,0,66.0
2716,Antony,Emerson,AUS,0,"Brisbane, QLDS, Australia",1963-03-29,0.0,73.0,180.0,0,0,61.0
2717,Stefan,Eriksson,SWE,0,"Enkoping, Sweden",1963-10-17,0.0,85.0,193.0,0,0,61.0
2718,Simone,Ercoli,ITA,0,0,,0.0,0.0,0.0,0,0,
2719,Francois,Errard,FRA,0,"Charleville, France",1967-09-10,0.0,71.0,180.0,0,0,57.0
2720,Jeff,Etterbeek,USA,0,"Holland, MI, USA",1956-12-31,0.0,0.0,0.0,0,0,68.0
2721,Kelly,Evernden,NZL,"Naples, FL","Gisborne, New Zealand",1961-09-21,1985.0,70.0,175.0,0,0,63.0
2722,Brett,Edwards,AUS,0,0,,0.0,0.0,0.0,0,0,
2723,Roy,Emerson,AUS,0,"Blackbutt, QLDS, Australia",1936-11-03,0.0,79.0,183.0,0,0,88.0
2724,Weller,Evans,USA,"Ponte Vedra Beach, FL, U.S.A.","New York, NY",1954-11-19,1977.0,75.0,178.0,0,0,70.0
2725,Rand,Evett,USA,0,0,1954-03-01,0.0,0.0,0.0,0,0,70.0
2726,R.,Elangovan,IND,0,0,,0.0,0.0,0.0,0,0,
2727,Tom,Edlefsen,USA,0,"Oakland, CA",1941-12-12,0.0,73.0,188.0,0,0,83.0
2728,Craig,Edwards,USA,0,"Los Angeles, CA",1955-05-19,0.0,67.0,175.0,0,0,69.0
2729,Ismail,El Shafei,EGY,0,"Cairo, Egypt",1947-11-15,0.0,0.0,0.0,0,0,77.0
2730,Harald,Elschenbroich,GER,0,"Monchen-Gladbach, Germany",1941-06-19,0.0,0.0,0.0,0,0,83.0
2731,Mike,Estep,USA,"Hurst, TX, USA","Dallas, TX",1949-07-19,0.0,73.0,173.0,0,0,75.0
2732,Lars,Elvstrom,DEN,0,"Copenhagen, Denmark",1949-08-18,0.0,0.0,0.0,0,0,75.0
2733,Aly,El Dawoudi,EGY,0,0,,0.0,0.0,0.0,0,0,
2734,Thomas,Emmrich,GER,0,0,1953-07-21,0.0,0.0,0.0,0,0,71.0
2735,Claude,England,NZL,0,0,,0.0,0.0,0.0,0,0,
2736,Gaston,Escofet,ESP,0,0,,0.0,0.0,0.0,0,0,
2737,David,Engel,SWE,"Dinslaken, Germany","Gothenburg, Sweden",1967-10-17,1986.0,74.0,180.0,0,0,57.0
2738,Malcolm,Elley,NZL,0,"Auckland, New Zealand",,0.0,0.0,0.0,0,0,
2739,Hans,Engert,GER,0,"Mannheim, Germany",1951-04-22,0.0,0.0,0.0,0,0,73.0
2740,Ernie,Ewert,AUS,0,"Melbourne, VIC, Australia",1954-06-05,0.0,0.0,0.0,0,0,70.0
2741,Jeff,Edwards,USA,0,0,,0.0,0.0,0.0,0,0,
2742,Greg,Ewansky,USA,0,0,,0.0,0.0,0.0,0,0,
2743,Victor,Eke,AUS,0,"Sydney, Australia",1954-11-11,0.0,0.0,0.0,0,0,70.0
2744,Victor,Egorov,UKR,0,0,,0.0,0.0,0.0,0,0,
2745,John,Eagleton,RSA,0,0,,0.0,0.0,0.0,0,0,
2746,Mayez Jupiter,Elrich,AUS,0,0,1999-04-09,0.0,0.0,0.0,Right-Handed,Two-Handed Backhand,25.0
2747,Jacco,Eltingh,NED,"Monte Carlo, Monaco","Heerde, Netherlands",1970-08-29,1988.0,80.0,188.0,0,0,54.0
2748,Robert,Eriksson,SWE,0,0,1971-09-07,0.0,0.0,0.0,0,0,53.0
2749,Ulf,Eriksson,SWE,0,0,,0.0,0.0,0.0,0,0,
2750,Thomas,Enqvist,SWE,"Monte Carlo, Monaco","Stockholm, Sweden",1974-03-13,1991.0,88.0,191.0,Right-Handed,Two-Handed Backhand,50.0
2751,Juan Pablo,Etchecoin,BRA,0,0,,0.0,0.0,0.0,0,0,
2752,Keith,Evans,USA,0,"Memphis, TN",1969-03-22,0.0,82.0,188.0,0,0,55.0
2753,Younes,El Aynaoui,MAR,"Rabat, Morocco","Rabat, Morocco",1971-09-12,1990.0,86.0,193.0,Right-Handed,Two-Handed Backhand,53.0
2754,David,Epstein,AUS,0,0,,0.0,0.0,0.0,0,0,
2755,Joshua,Eagle,AUS,"Noosa, Queensland, Australia","Toowoomba, QSLD, Australia",1973-05-10,0.0,91.0,183.0,0,0,51.0
2756,Adli,El Shafei,EGY,0,0,,0.0,0.0,0.0,0,0,
2757,Eyal,Erlich,ISR,0,0,1977-01-01,1995.0,72.0,183.0,0,0,47.0
2758,Nicolas,Escude,FRA,"Geneva, Switzerland","Chartres, France",1976-04-03,1995.0,70.0,185.0,0,0,48.0
2759,Gaston,Etlis,ARG,"Buenos Aires, Argentina","Buenos Aires, Argentina",1974-11-04,1993.0,76.0,185.0,0,0,50.0
2760,Werner,Eschauer,AUT,"Hollenstein, Austria","Hollenstein, Austria",1974-04-26,1998.0,76.0,188.0,Right-Handed,Two-Handed Backhand,50.0
2761,Ben,Ellwood,AUS,"South Melbourne, Australia","Canberra, A.C.T., Australia",1976-03-12,1994.0,76.0,178.0,0,0,48.0
2762,Tamer,El Sawy,EGY,"Tampa, FL, USA","Cairo, Egypt",1972-02-11,1993.0,80.0,188.0,Right-Handed,One-Handed Backhand,52.0
2763,Jonathan,Erlich,ISR,"Tel Aviv, Israel","Buenos Aires, Argentina",1977-04-05,1996.0,78.0,178.0,0,0,47.0
2764,Daniel,Elsner,GER,"Memmingerberg, Germany","Memmingerberg, Germany",1979-01-04,1997.0,80.0,183.0,0,0,45.0
2765,Mounir,El Aarej,MAR,0,0,1977-06-16,0.0,0.0,0.0,0,0,47.0
2766,Konstantinos,Economidis,GRE,"Thessaloniki, Greece","Thessaloniki, Greece",1977-11-02,1998.0,80.0,188.0,0,0,47.0
2767,Gilles,Elseneer,BEL,"Bruxelles, Belgium","Bruxelles, Belgium",1978-03-06,1998.0,77.0,188.0,0,0,46.0
2768,Mikhail,Elgin,RUS,"St. Petersburg, Russia","St. Petersburg, Russia",1981-10-14,1998.0,78.0,183.0,0,0,43.0
2769,Rainer,Eitzinger,AUT,"Stans, Austria","Schwaz, Austria",1983-06-28,2003.0,65.0,178.0,0,0,41.0
2770,Mohammed-Arif,Elahi,PAK,0,0,,0.0,0.0,0.0,0,0,
2771,Bruno,Echagaray,MEX,"Mexico City, Mexico","Mexico City, Mexico",1983-05-08,2000.0,84.0,183.0,Right-Handed,One-Handed Backhand,41.0
2772,John,Eastburn,AUS,0,0,,1974.0,0.0,0.0,0,0,
2773,Hansjorg,Elzer,GER,0,0,,0.0,0.0,0.0,0,0,
2774,Martin,Emmrich,GER,"Erkrath,Germany","Magdeburg, Germany",1984-12-17,2001.0,81.0,183.0,Left-Handed,Two-Handed Backhand,40.0
2775,Terry,Ehlers,USA,0,0,,0.0,0.0,0.0,0,0,
2776,Juan-Manuel,Elizondo,MEX,"Atlanta, GA, USA","Leon, Mexico",1983-06-08,0.0,74.0,180.0,Ambidextrous,Two-Handed Backhand,41.0
2777,Victor,Estrella Burgos,DOM,"Santiago, Dominican Republic","Santiago, Dominican Republic",1980-08-02,2002.0,77.0,170.0,Right-Handed,One-Handed Backhand,44.0
2778,David,Estruch,ESP,0,0,1985-07-20,0.0,0.0,0.0,0,0,39.0
2779,Stanley,Ellis,USA,0,0,,0.0,0.0,0.0,0,0,
2780,Brendan,Evans,USA,"Wesley Chapel, FL, USA","Pontiac, Michigan, USA",1986-04-08,2004.0,91.0,188.0,0,0,38.0
2781,Colin,Ebelthite,AUS,0,0,1984-11-27,0.0,0.0,0.0,0,0,40.0
