,name,address,city,zip_code,type,count,clay,wall,grass,indoor,lights,proshop,latitude,clay,wall,grass,indoor,lights,stringing
Bay Hill Village,Charleston Park,orlando,fl,Homeowners Community,2,False,False,False,False,True,False,28,-81.5046501,0,0,0,0,1,0
Communications Arts High School,Pvt Road,san antonio,tx,Public,6,False,False,False,False,False,False,29,-98.7222755,0,0,0,0,0,0
Rosemont College,Curwen Road,philadelphia,pa,Public,6,False,False,False,False,False,False,40,-75.330269,0,0,0,0,0,0
Cleveland Hill High School,Huth Road,buffalo-niagara falls,ny,Public,5,False,False,False,False,False,False,42,-78.779675,0,0,0,0,0,0
Chubb Park,PatriotsPath,new york,ny,Public,2,False,False,False,False,False,False,40,-74.714766,0,0,0,0,0,0
Wills Memorial Park,Glen Albin Road,washington,dc,Public,1,False,False,False,False,False,False,38,-76.9785002,0,0,0,0,0,0
Primrose Farm Park,Crane Road,chicago,il,Public,2,False,True,False,False,False,False,41,-88.34939,0,1,0,0,0,0
Imperial Gardens Apartments,Princess Circle,new york,ny,Homeowners Community,1,False,False,False,False,False,False,41,-73.90461,0,0,0,0,0,0
Loring Square Swim & Tennis,Major Loring Way,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.6153903,0,0,0,0,1,0
Pierce Park,North Franklin Avenue,detroit,mi,Public,4,False,False,False,False,False,False,43,-83.6634368,0,0,0,0,0,0
Pacific Woods Apartments,Kawai Court,los angeles,ca,Homeowners Community,2,False,False,False,False,False,False,33,-117.9214954,0,0,0,0,0,0
Elizabeth Street Learning Center,Clara Street,los angeles,ca,Public,3,False,False,False,False,False,False,33,-118.1818521,0,0,0,0,0,0
Wilton - Lyboro Cooperative Middle/High School,School Road,boston,ma,Public,4,False,True,False,False,False,False,42,-71.7467093,0,1,0,0,0,0
The Cove,Stolle Drive,cincinnati,oh,Homeowners Community,2,False,False,False,False,False,False,39,-84.2153656,0,0,0,0,0,0
Enfield High School,Enfield Street,hartford,ct,Public,6,False,False,False,False,True,False,41,-72.5942016,0,0,0,0,1,0
Monarch Point Estates,Ocean Way,los angeles,ca,Homeowners Community,2,False,False,False,False,True,False,33,-117.7308118,0,0,0,0,1,0
Lake Village,Mira Loma Drive,los angeles,ca,Homeowners Community,2,False,True,False,False,False,False,33,-117.134943,0,1,0,0,0,0
Geyser Park,Adams Road,albany,ny,Public,4,False,False,False,False,False,False,43,-73.82658,0,0,0,0,0,0
"University of California, Riverside",Aberdeen Drive,los angeles,ca,Public,10,False,False,False,False,True,False,33,-117.3282981,0,0,0,0,1,0
Fitz Intermediate School,South Newhope Street,los angeles,ca,Public,2,False,True,False,False,False,False,33,-117.9289734,0,1,0,0,0,0
Villa Portofino,Esmeraldas Drive,san diego,ca,Homeowners Community,4,False,False,False,False,True,False,32,-117.0999134,0,0,0,0,1,0
Celery Stalk,Meadowcreek Drive,dallas - fort worth,tx,Homeowners Community,2,False,False,False,False,True,False,32,-96.7905807,0,0,0,0,1,0
Larkey Park,Avenue,san francisco - oakland - san jose,ca,Public,4,False,False,False,False,False,False,37,-122.0731151,0,0,0,0,0,0
Los Prados Apartment Homes,East Leland Road,san francisco - oakland - san jose,ca,Homeowners Community,1,False,False,False,False,True,False,38,-121.8620896,0,0,0,0,1,0
Deerfield Village,Deerfield Village Drive,houston - galveston - brazoria,tx,Homeowners Community,4,False,True,False,False,True,False,29,-95.6797707,0,1,0,0,1,0
Garcia Middle School,Canterbury Green Court,houston - galveston - brazoria,tx,Public,4,False,False,False,False,False,False,29,-95.6803501,0,0,0,0,0,0
Terramont Park,Terramont Drive,houston - galveston - brazoria,tx,Public,2,False,True,False,False,True,False,30,-95.5573118,0,1,0,0,1,0
Timber Lane,Wood River Road,houston - galveston - brazoria,tx,Homeowners Community,2,False,False,False,False,True,False,30,-95.3878498,0,0,0,0,1,0
Campus Woods Park,Largo Road,washington,dc,Public,2,False,False,False,False,False,False,38,-76.821282,0,0,0,0,0,0
The Abbey At Forest Lakes,Old Village Way,tampa-st. petersburg-clearwater,fl,Homeowners Community,1,False,False,False,False,True,False,28,-82.6803696,0,0,0,0,1,0
University of Central Florida,Gemini Boulevard South,orlando,fl,Public,9,False,False,False,False,True,False,28,-81.1975372,0,0,0,0,1,0
Southchase,Blackmoor Drive,orlando,fl,Homeowners Community,1,False,False,False,False,False,False,28,-81.392338,0,0,0,0,0,0
Rosedale Park,Bowdoin Street,san antonio,tx,Public,3,False,False,False,False,True,False,29,-98.5498202,0,0,0,0,1,0
Braun Oaks,Tezel Road,san antonio,tx,Homeowners Community,2,False,False,False,False,True,False,29,-98.6575162,0,0,0,0,1,0
Spiritridge Park,Southeast Place,seattle,wa,Public,1,False,False,False,False,False,False,47,-122.1269524,0,0,0,0,0,0
Glassboro High School,Carpenter Street,philadelphia,pa,Public,8,False,False,False,False,False,False,39,-75.123524,0,0,0,0,0,0
Narberth Playground,Windsor Avenue,philadelphia,pa,Public,3,False,False,False,False,False,False,40,-75.265617,0,0,0,0,0,0
Emigh Playfield,East Morgan Avenue,milwaukee,wi,Public,2,False,False,False,False,False,False,42,-87.904304,0,0,0,0,0,0
Century Park,West Hawthorn Parkway,chicago,il,Public,4,False,False,False,False,False,False,42,-87.971472,0,0,0,0,0,0
Brook Road Park,Brook Road,new york,ny,Public,1,False,False,False,False,False,False,40,-73.721019,0,0,0,0,0,0
Cornwall Central High School,Dragon Drive,new york,ny,Public,6,False,False,False,False,False,False,41,-74.073697,0,0,0,0,0,0
Westwood Apartments,South Roslyn Street,denver,co,Homeowners Community,1,False,False,False,False,True,False,39,-104.9000359,0,0,0,0,1,0
Valley Place,Valley Brook Place,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.264214,0,0,0,0,1,0
The Grove At Swift Creek,Swift Lane,richmond-petersburg,va,Homeowners Community,1,False,False,False,False,True,False,37,-77.674799,0,0,0,0,1,0
Point West,South Finley Road,chicago,il,Homeowners Community,1,False,False,False,False,True,False,41,-88.0246603,0,0,0,0,1,0
Creekside Apartments of Farmington Hills,West Mile Road,detroit,mi,Homeowners Community,1,False,False,False,False,False,False,42,-83.3890736,0,0,0,0,0,0
Reflections on Sweetwater,Sweetwater Road,atlanta,ga,Homeowners Community,1,False,False,False,False,True,False,33,-84.1173899,0,0,0,0,1,0
Deerfield Lake,South Red Rock Drive,cleveland,oh,Homeowners Community,2,False,False,False,False,False,False,41,-81.8137908,0,0,0,0,0,0
Highland Meadows Condominiums,Highland Meadows Circle,cincinnati,oh,Homeowners Community,1,False,False,False,False,False,False,39,-84.4593287,0,0,0,0,0,0
Dayton Bomberger Teen Center,East Street,dayton-springfield,oh,Public,3,False,False,False,False,False,False,39,-84.1750252,0,0,0,0,0,0
Wilde Park,West Terrace,miami-fort lauderdale,fl,Public,2,False,False,False,False,True,False,25,-80.3179336,0,0,0,0,1,0
Four Colonies,Monrovia Street,kansas city,mo,Homeowners Community,2,False,False,False,False,False,False,38,-94.7279191,0,0,0,0,0,0
Oakwood Toluca Hills,Barham Boulevard,los angeles,ca,Homeowners Community,3,False,False,False,False,True,False,34,-118.3401239,0,0,0,0,1,0
Hopkins Junior High School,Saint Henry Drive,san francisco - oakland - san jose,ca,Public,4,False,False,False,False,False,False,37,-121.9414079,0,0,0,0,0,0
American River Commons,Howe Avenue,sacramento-yolo,ca,Homeowners Community,2,False,False,False,False,False,False,38,-121.408453,0,0,0,0,0,0
Highlands Ranch,Pointe Parkway,san diego,ca,Homeowners Community,2,False,False,False,False,True,False,32,-116.9744182,0,0,0,0,1,0
Flowers Crossing At the Mill,Sheridan Place,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,33,-84.0128803,0,0,0,0,1,0
El Dorado Estates,Southwest Avenue,miami-fort lauderdale,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.2497411,0,0,0,0,1,0
Bridlewood,Par Drive,dallas - fort worth,tx,Homeowners Community,4,False,False,False,False,True,False,33,-97.0962131,0,0,0,0,1,0
Peppermill Community Center,White Pearl Place,washington,dc,Public,2,False,False,False,False,False,False,38,-76.88502,0,0,0,0,0,0
O. Henry Middle School,Norwalk Lane,austin-san marcos,tx,Public,2,False,True,False,False,False,False,30,-97.7728486,0,1,0,0,0,0
Perrin Crest,Skyline Boulevard,san antonio,tx,Homeowners Community,2,False,False,False,False,False,False,29,-98.404144,0,0,0,0,0,0
Meadow Green Park,Trotters Circle,minneapolis-st. paul,mn,Public,2,False,True,False,False,False,False,44,-93.544238,0,1,0,0,0,0
Highland Regional High School,Blackwood Clementon Road,philadelphia,pa,Public,6,False,False,False,False,False,False,39,-75.048626,0,0,0,0,0,0
Fulton Park,Lowry Place,denver,co,Public,1,False,False,False,False,False,False,39,-104.87174,0,0,0,0,0,0
W. E. Boswell High School,Bowman Roberts Road,dallas - fort worth,tx,Public,8,False,False,False,False,False,False,32,-97.415911,0,0,0,0,0,0
Surgent Park,Craig Place,new york,ny,Public,2,False,False,False,False,False,False,40,-74.189954,0,0,0,0,0,0
Madison Meadow Park,Chase Lane,chicago,il,Public,2,False,True,False,False,False,False,41,-87.998825,0,1,0,0,0,0
Lockport Township High School-East Campus,East Street,chicago,il,Public,12,False,False,False,False,False,False,41,-88.031054,0,0,0,0,0,0
Rancho Palisades,Westshire Lane,dallas - fort worth,tx,Homeowners Community,1,False,False,False,False,True,False,33,-96.8226814,0,0,0,0,1,0
Country Pointe at Smithtown,Glee Way,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-73.1499982,0,0,0,0,0,0
Drew Middle School,West Chicago Avenue,detroit,mi,Public,2,False,False,False,False,False,False,42,-83.1557724,0,0,0,0,0,0
Water Tower Park,Gaynier Road,detroit,mi,Public,1,False,False,False,False,False,False,41,-83.4314418,0,0,0,0,0,0
Senior Citizens Park,West Ridgewood Drive,cleveland,oh,Public,4,False,False,False,False,True,False,41,-81.7322087,0,0,0,0,1,0
Camp Meigs,Hyde Park Avenue,boston,ma,Public,2,False,False,False,False,False,False,42,-71.1326444,0,0,0,0,0,0
Residences At The Falls,Southwest Avenue,miami-fort lauderdale,fl,Homeowners Community,4,False,False,False,False,False,False,25,-80.3386188,0,0,0,0,0,0
South Summit High School,East South,salt lake city,ut,Public,4,False,False,False,False,False,False,40,-111.270411,0,0,0,0,0,0
Ocean View Park,East Ocean View Avenue,norfolk-virginia beach,va,Public,4,False,True,False,False,True,False,36,-76.2454283,0,1,0,0,1,0
Avon Middle School,West Avon Road,hartford,ct,Public,4,False,False,False,False,False,False,41,-72.8637099,0,0,0,0,0,0
Fernridge Park,Fern Street,hartford,ct,Public,9,True,False,False,False,False,False,41,-72.7507675,1,0,0,0,0,0
Bolton Park,Saint Marks Road Southwest,greensboro-winston-salem,nc,Public,3,False,False,False,False,True,False,36,-80.2927744,0,0,0,0,1,0
Ambassador Court,Ambassador Court,greensboro-winston-salem,nc,Homeowners Community,1,False,False,False,False,False,False,35,-79.991498,0,0,0,0,0,0
Whispering Oaks Condos,Enchanted Oak Place,memphis,tn,Homeowners Community,1,False,False,False,False,True,False,35,-89.839046,0,0,0,0,1,0
Archstone Yorba Linda,River Bend Drive,los angeles,ca,Homeowners Community,2,False,False,False,False,True,False,33,-117.7025092,0,0,0,0,1,0
R-9 County Park,Sappington Barracks Road,st. louis,mo,Public,2,False,False,False,False,False,False,38,-90.2995813,0,0,0,0,0,0
Lake of the Woods,Lake Woods Boulevard,atlanta,ga,Homeowners Community,1,False,False,False,False,True,False,33,-84.414407,0,0,0,0,1,0
San Francisco State University,Font Boulevard,san francisco - oakland - san jose,ca,Public,4,False,False,False,False,False,False,37,-122.483139,0,0,0,0,0,0
Lauderhill Middle School,Northwest Court,miami-fort lauderdale,fl,Public,2,False,False,False,False,False,False,26,-80.2176619,0,0,0,0,0,0
Wexford Village Apartments,Duncannon Avenue,boston,ma,Homeowners Community,2,False,True,False,False,False,False,42,-71.7644227,0,1,0,0,0,0
Blue Lakes Park,Southwest Avenue,miami-fort lauderdale,fl,Public,2,False,False,False,False,False,False,25,-80.3419822,0,0,0,0,0,0
Creekside Park,Cloverglen Lane,dallas - fort worth,tx,Public,1,False,False,False,False,False,False,32,-97.362653,0,0,0,0,0,0
Hunters Glen,Independence Parkway,dallas - fort worth,tx,Homeowners Community,2,False,False,False,False,True,False,33,-96.7478585,0,0,0,0,1,0
Ocean Reserve,Collins Avenue,miami-fort lauderdale,fl,Homeowners Community,2,False,False,False,False,True,False,25,-80.1226366,0,0,0,0,1,0
Treasure Island Elementary School,North Treasure Drive,miami-fort lauderdale,fl,Public,4,False,False,False,False,True,False,25,-80.1476991,0,0,0,0,1,0
Parkside,Will Clayton Parkway,houston - galveston - brazoria,tx,Homeowners Community,1,False,False,False,False,True,False,29,-95.2560836,0,0,0,0,1,0
Logan's Pointe,Rollingbrook Drive,houston - galveston - brazoria,tx,Homeowners Community,1,False,False,False,False,False,False,29,-94.9758518,0,0,0,0,0,0
Sherman Park,Lundy Drive,washington,dc,Public,2,False,True,False,False,True,False,38,-76.838191,0,1,0,0,1,0
Kendale Woods,Brookcrest Place,washington,dc,Public,2,False,False,False,False,False,False,38,-77.194254,0,0,0,0,0,0
Piccowaxen Middle School,Rock Point Road,washington,dc,Public,4,False,False,False,False,False,False,38,-76.941788,0,0,0,0,0,0
Northview Park,Northview Terrace,minneapolis-st. paul,mn,Public,11,False,False,False,False,False,False,44,-93.138163,0,0,0,0,0,0
Paha Sapa Park,Oakland Avenue,minneapolis-st. paul,mn,Public,2,False,False,False,False,False,False,44,-93.266571,0,0,0,0,0,0
East Hills Park,East Hills Drive,pittsburgh,pa,Public,2,False,False,False,False,True,False,40,-79.871351,0,0,0,0,1,0
Powell Middle School,South Corona Way,denver,co,Public,4,False,False,False,False,False,False,39,-104.9761,0,0,0,0,0,0
Carefree Park,South Douglas Avenue,chicago,il,Public,2,False,False,False,False,False,False,42,-87.975586,0,0,0,0,0,0
Bridgewater at Mt Zion,Mount Zion Road,atlanta,ga,Homeowners Community,1,False,False,False,False,True,False,33,-84.2876673,0,0,0,0,1,0
Isabel Gates Webster Park,Peyton Road Southwest,atlanta,ga,Public,2,False,True,False,False,True,False,33,-84.4759905,0,1,0,0,1,0
Thomas Jefferson CC & Park,Street South,washington,dc,Public,4,False,True,False,False,True,False,38,-77.094082,0,1,0,0,1,0
Beaverton High School,Southwest Erickson Avenue,portland,or,Public,4,False,False,False,False,False,False,45,-122.8123641,0,0,0,0,0,0
Chemeketa Community College,East Campus Loop,portland,or,Public,6,False,True,False,False,False,False,44,-122.9761398,0,1,0,0,0,0
Good Neighbors Park,McGreevy Drive,cincinnati,oh,Public,2,False,False,False,False,False,False,39,-84.5472622,0,0,0,0,0,0
Liberty Park,South East,salt lake city,ut,Public,16,False,True,False,True,True,False,40,-111.8756247,0,1,0,1,1,0
Williams Beach Park,Harry Austin Drive,hartford,ct,Public,2,False,False,False,False,False,False,41,-71.9584537,0,0,0,0,0,0
Turtle Bay Condominium,Turtle Bay Drive,new york,ny,Homeowners Community,2,False,False,False,False,False,False,41,-72.8346026,0,0,0,0,0,0
Old Reid Park,Pumphouse Road,dayton-springfield,oh,Public,9,True,False,False,False,True,False,39,-83.7573838,1,0,0,0,1,0
Tierra Verde Park,East Camino Real Avenue,los angeles,ca,Public,2,False,False,False,False,True,False,34,-118.0240631,0,0,0,0,1,0
De Anza Middle School,South Sultana Avenue,los angeles,ca,Public,4,False,True,False,False,False,False,34,-117.6462793,0,1,0,0,0,0
Desert Sands,Vía Verde,los angeles,ca,Homeowners Community,1,False,False,False,False,False,False,33,-116.4565051,0,0,0,0,0,0
Brook Edge Estates,South Don Luis,phoenix,az,Homeowners Community,1,False,False,False,False,True,False,33,-111.8864501,0,0,0,0,1,0
Santa Teresa,Point Dunes Court,san francisco - oakland - san jose,ca,Homeowners Community,1,False,False,False,False,False,False,37,-121.7747355,0,0,0,0,0,0
Kitsap Fairgrounds & Events Center,Stampede Boulevard Northwest,seattle,wa,Public,6,False,False,False,False,False,False,47,-122.661581,0,0,0,0,0,0
Royal Grand,South University Drive,miami-fort lauderdale,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.2504492,0,0,0,0,1,0
Nasher,Avenue,miami-fort lauderdale,fl,Homeowners Community,1,False,False,False,False,False,False,26,-80.3094149,0,0,0,0,0,0
Stuart Road Park,Stuart Road,washington,dc,Public,1,False,False,False,False,True,False,38,-77.362547,0,0,0,0,1,0
Cobb's Landing,Shoreline Drive,tampa-st. petersburg-clearwater,fl,Homeowners Community,2,False,False,False,False,False,False,28,-82.72174,0,0,0,0,0,0
South Lake High School,Silver Eagle Road,orlando,fl,Public,6,False,False,False,False,False,False,28,-81.8150032,0,0,0,0,0,0
Ponce Tennis Villas,Ponce Island Drive,jacksonville,fl,Homeowners Community,6,False,False,False,False,False,False,29,-81.3259292,0,0,0,0,0,0
Seabrook,Terry Brook Drive,orlando,fl,Homeowners Community,2,False,False,False,False,True,False,28,-81.303817,0,0,0,0,1,0
Osseo Senior School,Avenue North,minneapolis-st. paul,mn,Public,8,False,True,False,False,False,False,45,-93.409001,0,1,0,0,0,0
Oakbourne Park,East Pleasant Grove Road,philadelphia,pa,Public,2,False,False,False,False,False,False,39,-75.572193,0,0,0,0,0,0
Hilltop Park,East Greenwood Circle,denver,co,Public,2,False,False,False,False,False,False,39,-104.78622,0,0,0,0,0,0
Victor Hanson Community Center (Rochdale Park),Guy R Brewer Boulevard,new york,ny,Public,6,False,True,False,False,True,False,40,-73.773815,0,1,0,0,1,0
Nishuane Park,High Street,new york,ny,Public,6,False,False,False,False,True,False,40,-74.222581,0,0,0,0,1,0
Main Park,Mokena Street,chicago,il,Public,4,False,False,False,False,True,False,41,-87.886306,0,0,0,0,1,0
Goshen High School,Scotchtown Road,new york,ny,Public,4,False,False,False,False,False,False,41,-74.320675,0,0,0,0,0,0
Turkey Brook Park,Flanders Road,new york,ny,Public,2,False,False,False,False,False,False,40,-74.7253025,0,0,0,0,0,0
Canterbury Court Apartments,North Cedar Lake Regional Trail,minneapolis-st. paul,mn,Homeowners Community,1,False,False,False,False,True,False,44,-93.3261645,0,0,0,0,1,0
Highcroft,Highcroft Circle Northwest,atlanta,ga,Homeowners Community,2,False,False,False,False,False,False,33,-84.2010319,0,0,0,0,0,0
Palmyra Harbour Condominium,Harbour Drive,philadelphia,pa,Homeowners Community,2,False,False,False,False,True,False,40,-75.030216,0,0,0,0,1,0
Rockport High School,Jerdens Lane,boston,ma,Public,4,False,False,False,False,False,False,42,-70.6100857,0,0,0,0,0,0
Fort Phoenix State Reservation,Green Street,boston,ma,Public,2,False,False,False,False,False,False,41,-70.8994317,0,0,0,0,0,0
Lonsdale Playground,River Road,providence,ri,Public,1,False,False,False,False,False,False,41,-71.4168942,0,0,0,0,0,0
South View Middle School,Normandale Road,minneapolis-st. paul,mn,Public,7,False,False,False,False,False,False,44,-93.346173,0,0,0,0,0,0
Crittenden Middle School,Jefferson Avenue,norfolk-virginia beach,va,Public,4,False,False,False,False,False,False,37,-76.444813,0,0,0,0,0,0
Mendham Commons,Hampshire Drive,new york,ny,Homeowners Community,4,True,False,False,False,True,False,40,-74.5910418,1,0,0,0,1,0
Community Park,Hubbard Drive,dayton-springfield,oh,Public,2,False,False,False,False,False,False,39,-84.1303825,0,0,0,0,0,0
Alexander Gardens,Dalecrest Drive,las vegas,nv,Homeowners Community,1,False,False,False,False,True,False,36,-115.2479017,0,0,0,0,1,0
Tanners Lake Park,Tanners Park Road,minneapolis-st. paul,mn,Public,2,False,False,False,False,False,False,44,-92.977885,0,0,0,0,0,0
Vineyard Village,Arrow Route,los angeles,ca,Homeowners Community,1,False,False,False,False,True,False,34,-117.6096511,0,0,0,0,1,0
Sierra Vista Park,Coburn Avenue,los angeles,ca,Public,2,False,False,False,False,True,False,34,-118.0408752,0,0,0,0,1,0
Alma Hofman Park,Benito Street,los angeles,ca,Public,2,False,False,False,False,True,False,34,-117.6923436,0,0,0,0,1,0
Baycliff Apartments,Austin Court,san francisco - oakland - san jose,ca,Homeowners Community,1,False,False,False,False,False,False,37,-122.3415184,0,0,0,0,0,0
Orinda Community Park,Orinda Way,san francisco - oakland - san jose,ca,Public,3,False,False,False,False,True,False,37,-122.189405,0,0,0,0,1,0
Woodlake Apartments,Bear Valley Parkway,san diego,ca,Homeowners Community,1,False,False,False,False,True,False,33,-117.0426321,0,0,0,0,1,0
Mission Ridge,Via Villena,san diego,ca,Homeowners Community,2,False,False,False,False,True,False,33,-117.2656095,0,0,0,0,1,0
Esplanade on The New River,Southwest Avenue,miami-fort lauderdale,fl,Homeowners Community,2,False,False,False,False,True,False,26,-80.1476455,0,0,0,0,1,0
Coral Key,Pinewalk Drive North,miami-fort lauderdale,fl,Homeowners Community,1,False,False,False,False,True,False,26,-80.2244854,0,0,0,0,1,0
Bridgeport,Polaris Drive,dallas - fort worth,tx,Homeowners Community,2,False,False,False,False,True,False,32,-97.011466,0,0,0,0,1,0
Spring Branch Middle School,Campbell Road,houston - galveston - brazoria,tx,Public,4,False,False,False,False,False,False,29,-95.5155337,0,0,0,0,0,0
Central Middle School,Avenue H,houston - galveston - brazoria,tx,Public,2,False,False,False,False,True,False,29,-94.802978,0,0,0,0,1,0
Coles Elementary School,Hoadly Road,washington,dc,Public,4,False,True,False,False,False,False,38,-77.428776,0,1,0,0,0,0
Burmon Playground,Lakeview Avenue,buffalo-niagara falls,ny,Public,2,False,False,False,False,False,False,42,-78.786649,0,0,0,0,0,0
Ridge Ruxton School,Chestnut Avenue,baltimore,md,Public,4,False,False,False,False,False,False,39,-76.62576,0,0,0,0,0,0
The Grand Isles,Haverhill Road North,west palm beach - boca raton,fl,Homeowners Community,1,False,False,False,False,False,False,26,-80.1215637,0,0,0,0,0,0
Woods of Mandarin,Harapey Ap,jacksonville,fl,Homeowners Community,2,False,False,False,False,True,False,30,-81.6236651,0,0,0,0,1,0
Odyssey Middle School,Lee Vista Boulevard,orlando,fl,Public,3,False,False,False,False,False,False,28,-81.2557063,0,0,0,0,0,0
Baker Park,Morrow Road,pittsburgh,pa,Public,2,False,False,False,False,True,False,40,-80.098453,0,0,0,0,1,0
Success Park,Velvet Street,new york,ny,Public,2,False,False,False,False,False,False,41,-73.160662,0,0,0,0,0,0
Veterans Memorial Park,Brushy Plain Road,new york,ny,Public,4,False,False,False,False,True,False,41,-72.820494,0,0,0,0,1,0
Erie High School,Weld County Road,denver,co,Public,6,False,False,False,False,False,False,40,-105.01421,0,0,0,0,0,0
Genesee Valley Park Complex,Genesee Street,rochester,ny,Public,8,False,False,False,False,True,False,43,-77.640681,0,0,0,0,1,0
Niver Creek Middle School,Pecos Street,denver,co,Public,3,False,False,False,False,True,False,39,-105.00561,0,0,0,0,1,0
Humboldt Park,Luis Munoz Marin Drive,chicago,il,Public,11,False,False,False,False,True,False,41,-87.705338,0,0,0,0,1,0
Touhy Park,North Clark Street,chicago,il,Public,2,False,False,False,False,False,False,42,-87.674565,0,0,0,0,0,0
Achievement First- Crown Heights Charter School,Rutland Road,new york,ny,Public,2,False,False,False,False,False,False,40,-73.935692,0,0,0,0,0,0
Pine Island Park,Kay Road,new york,ny,Public,2,False,True,False,False,False,False,41,-74.461834,0,1,0,0,0,0
Salem Middle School,Salem Springs Place,atlanta,ga,Public,2,False,False,False,False,False,False,33,-84.1729116,0,0,0,0,0,0
Silver Ridge,Jones Bridge Road,atlanta,ga,Homeowners Community,2,False,False,False,False,True,False,34,-84.2188203,0,0,0,0,1,0
Crosspointe Condominiums,Cozzens Court,new york,ny,Homeowners Community,2,False,False,False,False,False,False,40,-74.4046497,0,0,0,0,0,0
Ashton Woods Owners Association,Sunset Knoll Road,richmond-petersburg,va,Homeowners Community,2,False,False,False,False,False,False,37,-77.4812508,0,0,0,0,0,0
Squannacook Elementary School,Brookline Street,boston,ma,Public,6,False,True,False,False,False,False,42,-71.700747,0,1,0,0,0,0
Kensington Station,Clubhouse East Circle,atlanta,ga,Homeowners Community,3,False,False,False,False,True,False,33,-84.2467904,0,0,0,0,1,0
Cascade Green,Denville Terrace Southwest,atlanta,ga,Homeowners Community,1,False,False,False,False,False,False,33,-84.5020723,0,0,0,0,0,0
Cedar Hills Park,Southwest Cedar Hills Boulevard,portland,or,Public,2,False,False,False,False,True,False,45,-122.8023112,0,0,0,0,1,0
Orchard Heights Park,Parkway Drive Northwest,portland,or,Public,4,False,False,False,False,True,False,44,-123.0610049,0,0,0,0,1,0
Hidden Lake Condominiums,South Black Swan Drive,salt lake city,ut,Homeowners Community,2,False,False,False,False,False,False,40,-111.861366,0,0,0,0,0,0
West Yadkin Elementary,Lowder Road,greensboro-winston-salem,nc,Public,4,False,False,False,False,False,False,36,-80.7891119,0,0,0,0,0,0
Wild Birch Farms,Amherst Road,new york,ny,Homeowners Community,1,False,False,False,False,False,False,41,-73.872875,0,0,0,0,0,0
John P. Freeman Optional School,Tulane Road,memphis,tn,Public,2,False,False,False,False,False,False,35,-90.0418746,0,0,0,0,0,0
Manhattan Recreation Area,Kingswood Drive Southeast,grand rapids,mi,Public,2,False,True,False,False,False,False,42,-85.5937743,0,1,0,0,0,0
Bulldog Park,Kinnikin Lane,chicago,il,Public,8,False,False,False,False,False,False,41,-88.080557,0,0,0,0,0,0
North Rotary Park,North Sapulpa Avenue,oklahoma city,ok,Public,2,False,True,False,False,False,False,35,-97.5895143,0,1,0,0,0,0
Country Hills Park,Wandering Lane,los angeles,ca,Public,2,False,False,False,False,True,False,33,-117.8707588,0,0,0,0,1,0
Avondale At Warner Center Apartments,Victory Boulevard,los angeles,ca,Homeowners Community,2,False,False,False,False,True,False,34,-118.6116922,0,0,0,0,1,0
Turtle Rock Vista,Rockview Drive,los angeles,ca,Homeowners Community,2,False,False,False,False,False,False,33,-117.8164923,0,0,0,0,0,0
Newport Crest,Intrepid Court,los angeles,ca,Homeowners Community,2,False,False,False,False,True,False,33,-117.9370415,0,0,0,0,1,0
Islandia,Fir Avenue,san francisco - oakland - san jose,ca,Homeowners Community,2,False,False,False,False,False,False,37,-122.2436607,0,0,0,0,0,0
Ocean Hills Country Club,Leisure Village Way,san diego,ca,Homeowners Community,4,False,False,False,False,True,False,33,-117.2684097,0,0,0,0,1,0
Club Circle Resort,Club Circle West,san diego,ca,Homeowners Community,2,False,False,False,False,False,False,33,-116.3571775,0,0,0,0,0,0
Sgt. Joseph Delancy Park,Boggs Drive,miami-fort lauderdale,fl,Public,2,False,False,False,False,True,False,25,-80.3769529,0,0,0,0,1,0
Fresno High School,East Weldon Avenue,fresno,ca,Public,7,False,True,False,False,True,False,36,-119.8066592,0,1,0,0,1,0
Congers Lake Memorial Park,Gilchrest Road,new york,ny,Public,2,False,True,False,False,False,False,41,-73.9399731,0,1,0,0,0,0
Overton Park,Hartwood Drive,dallas - fort worth,tx,Public,2,False,False,False,False,False,False,32,-97.3850334,0,0,0,0,0,0
West Belt Townhomes,West Sam Houston Parkway South,houston - galveston - brazoria,tx,Homeowners Community,2,False,True,False,False,True,False,29,-95.5564642,0,1,0,0,1,0
Poinciana Country Club,Poinciana Drive,west palm beach - boca raton,fl,Homeowners Community,4,False,True,False,False,True,False,26,-80.1537931,0,1,0,0,1,0
Soule Road Park,Chancery Lane,tampa-st. petersburg-clearwater,fl,Public,2,False,False,False,False,False,False,28,-82.7201521,0,0,0,0,0,0
Highland Lakes,Hilary Circle,tampa-st. petersburg-clearwater,fl,Homeowners Community,4,False,True,False,False,True,False,28,-82.7250123,0,1,0,0,1,0
Tampa Palms,Tampa Palms Boulevard West,tampa-st. petersburg-clearwater,fl,Homeowners Community,4,False,False,False,False,True,False,28,-82.3967743,0,0,0,0,1,0
Cleveland State University,Chester Avenue,cleveland,oh,Public,6,False,False,False,False,False,False,41,-81.6768265,0,0,0,0,0,0
